"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,09:00,Consulta,DISPONIBLE
"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,09:00,"Control anual Medico Clinico",DISPONIBLE
"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,09:00,"Vacunacion mayores de edad",DISPONIBLE
"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,10:00,Consulta,DISPONIBLE
"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,10:00,"Control anual Medico Clinico",DISPONIBLE
"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,10:00,"Vacunacion mayores de edad",DISPONIBLE
"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,11:00,Consulta,DISPONIBLE
"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,11:00,"Control anual Medico Clinico",DISPONIBLE
"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,11:00,"Vacunacion mayores de edad",DISPONIBLE
"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,12:00,Consulta,DISPONIBLE
"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,12:00,"Control anual Medico Clinico",DISPONIBLE
"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,12:00,"Vacunacion mayores de edad",DISPONIBLE
"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,13:00,Consulta,DISPONIBLE
"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,13:00,"Control anual Medico Clinico",DISPONIBLE
"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,13:00,"Vacunacion mayores de edad",DISPONIBLE
"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,14:00,Consulta,DISPONIBLE
"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,14:00,"Control anual Medico Clinico",DISPONIBLE
"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,14:00,"Vacunacion mayores de edad",DISPONIBLE
"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,15:00,Consulta,DISPONIBLE
"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,15:00,"Control anual Medico Clinico",DISPONIBLE
"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,15:00,"Vacunacion mayores de edad",DISPONIBLE
"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,16:00,Consulta,DISPONIBLE
"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,16:00,"Control anual Medico Clinico",DISPONIBLE
"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,16:00,"Vacunacion mayores de edad",DISPONIBLE
"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,17:00,Consulta,DISPONIBLE
"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,17:00,"Control anual Medico Clinico",DISPONIBLE
"Dr. Lopez Marcos","Medico Clinico","Consultorio 1",Lunes,17:00,"Vacunacion mayores de edad",DISPONIBLE
